Acinar cells,Cancer clone A,Cancer clone B,Ductal - APOL1 high/hypoxic,Ductal - CRISP3 high/centroacinar like,Ductal - MHC Class II,Ductal - terminal ductal like,Endocrine cells,Endothelial cells,Fibroblasts,Macrophages A,Macrophages B,Mast cells,Monocytes,RBCs,T cells & NK cells,Tuft cells,mDCs A,mDCs B,pDCs
0.087979816,0.0038281223,0.0049064425,0.0039757118,0.076459244,0.027307428,0.013682263,0.030537052,0.07766538,0.34602085,0.09421868,0.06156088,0.006728596,0.036720254,0.013201096,0.03318407,0.023414593,0.025593527,0.022959825,0.0100562265
0.0038350958,0.03321595,0.018469153,0.013442856,0.5909137,0.11294104,0.13631967,0.0018547805,0.003175326,0.0018470236,0.013955524,0.01014542,0.0020462777,0.0077359653,0.0017243996,0.011262281,0.012996732,0.006464597,0.013750851,0.003903396
0.008028832,0.028127445,0.021004708,0.009559591,0.5135366,0.10617012,0.18755175,0.0021337436,0.004985743,0.0030580838,0.019348962,0.015210055,0.0025881436,0.012358608,0.0022766336,0.015160661,0.01667779,0.010065448,0.016459575,0.005697544
0.014354866,0.13067542,0.036100935,0.043033335,0.23016828,0.098539956,0.23526767,0.0035532725,0.0044966605,0.0038779164,0.03967738,0.031572696,0.0033650307,0.01854924,0.002817303,0.017960409,0.022016592,0.02165041,0.028082952,0.0142396
0.012007195,0.042320646,0.06075531,0.036392596,0.2236072,0.11776337,0.32940483,0.004527835,0.0058528297,0.006765306,0.019928874,0.013479143,0.006219963,0.01581931,0.004187505,0.029610544,0.030580066,0.011296134,0.017270487,0.012210899
0.007390088,0.03840537,0.06868535,0.017794158,0.37664476,0.13662888,0.26614532,0.0016498482,0.002166105,0.002314593,0.011610402,0.008147429,0.0027125494,0.0067328988,0.0018003905,0.013311602,0.014322165,0.0053034485,0.013312469,0.004922215
0.0040028924,0.039474126,0.023123637,0.013074034,0.4289013,0.12120754,0.23430535,0.0023603435,0.006415895,0.0027976187,0.013442642,0.013961546,0.0031237174,0.016883329,0.001628206,0.025478099,0.02152282,0.009184849,0.012263345,0.0068486095
0.0021686337,0.048266493,0.021190789,0.025374569,0.49121234,0.16569246,0.17344609,0.0012667935,0.0023649014,0.0010623329,0.009771393,0.0076532215,0.0014625421,0.006946511,0.00086139806,0.010766416,0.013429648,0.004524917,0.0090201115,0.0035183637
0.009290493,0.032216832,0.019959394,0.018729206,0.3958285,0.1761995,0.1371389,0.0034645426,0.010796334,0.00420795,0.033387903,0.027892355,0.0040685944,0.019447709,0.0028232795,0.022387639,0.020813707,0.021446474,0.029409654,0.010491057
0.004141807,0.034238227,0.02272854,0.066563554,0.59242463,0.123743564,0.078215785,0.0016979984,0.003509385,0.0016121262,0.009892316,0.0075928033,0.0035948837,0.0055038156,0.0011215584,0.01083142,0.0118708825,0.0046011657,0.012895715,0.0032198322
